Name, G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Juan Soto,121,,247,208,29,50,7,1,11,39,11,0,32,59,.240,.341,.442,.784,92,7,2,1,4,0,2,.275,70,122
Francisco Lindor,105,,227,200,34,47,5,0,7,26,14,1,20,30,.235,.317,.365,.682,73,2,5,0,2,0,1,.242,70,95
Pete Alonso,105,,204,181,19,41,8,0,9,23,1,0,18,61,.227,.309,.420,.729,76,4,4,0,1,4,1,.286,69,106
Francisco Alvarez,40,,66,56,9,15,6,1,3,9,0,0,10,14,.268,.379,.571,.950,32,2,0,0,0,0,0,.308,140,167
Brett Baty,50,,83,77,13,19,1,0,3,10,3,0,4,19,.247,.301,.377,.678,29,1,2,0,0,0,0,.291,83,93
Brandon Nimmo,111,,204,184,20,48,4,0,8,30,5,0,12,49,.261,.319,.413,.732,76,3,5,0,3,0,0,.308,93,108
Tyrone Taylor,52,,102,90,11,19,4,0,0,6,2,1,9,19,.211,.297,.256,.553,23,2,2,1,0,1,1,.268,87,61
Starling Marte,68,,147,133,19,35,7,0,4,12,3,1,11,30,.263,.327,.406,.733,54,4,2,0,1,0,0,.310,97,109
Mark Vientos,67,,136,128,13,32,9,1,5,17,0,0,7,31,.250,.287,.453,.740,58,3,0,0,1,0,0,.290,109,108
Luisangel Acuña,34,,67,58,10,13,3,0,0,2,3,1,6,16,.224,.308,.276,.584,16,0,1,2,0,0,0,.310,106,69
Trent Grisham,87,,155,132,20,24,1,0,7,18,0,1,21,41,.182,.303,.348,.652,46,4,2,0,0,0,2,.202,62,86
Aaron Judge,77,,161,123,48,42,7,0,16,30,3,2,37,37,.341,.491,.789,1.279,97,6,0,0,1,22,0,.366,122,259
Anthony Volpe,87,,172,154,21,39,11,1,4,22,9,3,14,41,.253,.316,.416,.731,64,3,1,1,2,0,0,.315,123,108
Cody Bellinger,93,,176,153,30,54,10,2,8,36,5,2,18,17,.353,.415,.601,1.016,92,3,1,0,4,0,1,.348,150,186
Ben Rice,67,,119,106,17,22,6,1,7,18,1,0,10,33,.208,.271,.481,.752,51,4,0,0,2,0,0,.221,77,110
Jazz Chisholm Jr.,83,,147,129,16,32,3,0,6,19,3,3,11,36,.248,.322,.411,.733,53,1,4,1,2,0,2,.292,82,108
Austin Wells,72,,137,125,15,30,6,1,6,28,4,0,8,35,.240,.285,.448,.733,56,6,1,0,3,0,0,.276,106,106
Paul Goldschmidt,82,,168,149,26,50,14,0,7,16,3,0,17,19,.336,.411,.570,.981,85,2,2,0,0,5,1,.350,167,177
Ryan McMahon,69,,129,114,12,21,3,0,2,9,1,0,12,41,.184,.271,.263,.534,30,0,2,0,1,0,0,.264,56,54
Giancarlo Stanton,46,,78,65,7,18,3,0,5,24,0,0,13,24,.277,.397,.554,.951,36,2,0,0,0,3,0,.361,107,169