Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Juan Soto,145,,468,369,91,102,13,0,32,66,27,4,95,78,.276,.424,.572,.996,211,10,1,0,2,13,4,.268,116,174
Francisco Lindor,146,,505,444,83,125,30,0,24,60,17,5,45,101,.282,.358,.511,.870,227,7,11,0,5,2,1,.312,113,138
Pete Alonso,151,,505,443,68,129,33,1,29,103,0,2,43,101,.291,.362,.567,.929,251,19,11,0,8,1,1,.312,113,153
Francisco Alvarez,72,,211,190,23,48,6,0,8,23,0,0,17,59,.253,.327,.411,.738,78,4,4,0,0,0,2,.325,88,104
Brett Baty,123,,349,316,40,81,12,2,15,40,5,0,29,89,.256,.316,.449,.765,142,5,0,0,3,0,4,.307,104,110
Brandon Nimmo,139,,448,403,61,106,23,0,17,62,8,1,38,92,.263,.327,.447,.773,180,5,2,1,4,1,1,.299,103,113
Tyrone Taylor,87,,239,220,23,50,14,3,2,21,10,1,7,57,.227,.271,.345,.617,76,2,7,2,2,0,1,.294,105,70
Starling Marte,71,,182,160,18,44,7,0,5,22,4,1,11,38,.275,.343,.413,.755,66,3,7,1,3,0,1,.325,103,109
Mark Vientos,109,,327,296,31,67,12,1,12,44,1,0,23,84,.226,.291,.395,.686,117,8,5,0,3,0,3,.271,96,89
Luisangel Acuña,54,,126,117,20,28,4,0,0,6,13,0,7,21,.239,.286,.274,.559,32,6,1,0,1,0,0,.289,98,57
Trent Grisham,126,,426,362,67,92,8,1,27,56,3,1,61,96,.254,.364,.506,.869,183,3,2,0,1,0,6,.271,114,139
Aaron Judge,148,,518,418,89,137,23,2,37,84,9,3,87,123,.328,.446,.658,1.104,275,10,7,0,6,14,1,.379,93,202
Anthony Volpe,135,,424,385,44,75,21,3,15,50,9,5,29,109,.195,.254,.382,.635,147,7,3,2,5,0,2,.226,91,74
Cody Bellinger,146,,480,435,59,106,15,3,21,62,8,0,39,73,.244,.304,.437,.741,190,5,1,0,5,1,1,.246,82,103
Ben Rice,128,,411,361,57,97,22,3,19,47,2,2,40,67,.269,.356,.504,.860,182,14,9,0,0,0,0,.284,107,136
Jazz Chisholm Jr.,118,,384,333,59,80,12,1,25,61,28,5,47,112,.240,.336,.508,.843,169,2,2,0,2,1,1,.278,107,131
Austin Wells,110,,311,276,36,58,16,0,15,43,1,1,22,83,.210,.271,.431,.702,119,4,4,0,8,0,2,.231,97,91
Paul Goldschmidt,120,,366,340,50,84,17,1,3,29,2,1,19,81,.247,.289,.329,.619,112,6,2,0,2,0,3,.314,70,72
Ryan McMahon,142,,457,395,50,88,20,1,18,44,2,1,58,148,.223,.324,.415,.739,164,7,2,0,2,1,0,.303,113,104
Giancarlo Stanton,70,,203,184,29,50,5,0,19,42,0,0,16,72,.272,.332,.609,.940,112,3,1,0,1,0,2,.330,97,154